wall_thickness,corrosion_rate,rul,sensor_a,sensor_b,day,RUL
2998.9959996,0.0040004,748924,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0054, 'acoustic': 120, 'temperature': 24.16}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 16.49}",1,2999
2997.9959992,0.0040008,748599,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 22.23}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 24.53}",2,2998
2996.9959988,0.0040012,748274,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 16.14}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 16.41}",3,2997
2995.9959984,0.0040016,747949,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0052, 'acoustic': 120, 'temperature': 23.46}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 22.5}",4,2996
2994.995998,0.0040019999999999995,747625,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 21.1}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 17.39}",5,2995
2993.9959976,0.0040024,747300,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 25.02}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 21.83}",6,2994
2992.9959972,0.0040028,746976,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 18.12}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0062, 'acoustic': 120, 'temperature': 17.44}",7,2993
2991.9959968,0.0040032,746651,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 16.67}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 16.17}",8,2992
2990.9959964,0.0040035999999999995,746327,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 26.42}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 22.58}",9,2991
2989.995996,0.004004,746002,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 18.13}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 26.21}",10,2990
2988.9959956,0.004004400000000001,745678,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 16.34}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0052, 'acoustic': 120, 'temperature': 22.81}",11,2989
2987.9959952,0.0040048,745354,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 25.53}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0052, 'acoustic': 120, 'temperature': 17.44}",12,2988
2986.9959948,0.0040052,745030,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 26.4}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.005, 'acoustic': 120, 'temperature': 20.16}",13,2987
