wall_thickness,corrosion_rate,rul,sensor_a,sensor_b,day,RUL
598.9749875,0.0250125,23827,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0244, 'acoustic': 120, 'temperature': 16.23}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0238, 'acoustic': 120, 'temperature': 24.38}",1,599.0
597.974975,0.025025,23775,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0256, 'acoustic': 120, 'temperature': 17.71}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0254, 'acoustic': 120, 'temperature': 14.7}",2,598.0
596.9749625,0.025037500000000004,23723,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0265, 'acoustic': 120, 'temperature': 20.56}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.025, 'acoustic': 120, 'temperature': 18.82}",3,597.0
595.97495,0.025050000000000003,23671,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0252, 'acoustic': 120, 'temperature': 17.49}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.024, 'acoustic': 120, 'temperature': 18.84}",4,596.0
594.9749375,0.0250625,23619,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0272, 'acoustic': 120, 'temperature': 24.69}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0265, 'acoustic': 120, 'temperature': 20.73}",5,595.0
593.974925,0.025075,23568,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0244, 'acoustic': 120, 'temperature': 20.73}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0238, 'acoustic': 120, 'temperature': 24.84}",6,594.0
592.9749125,0.025087500000000002,23516,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.024, 'acoustic': 120, 'temperature': 22.96}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.025, 'acoustic': 120, 'temperature': 26.11}",7,593.0
591.9749,0.0251,23465,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0258, 'acoustic': 120, 'temperature': 22.82}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0233, 'acoustic': 120, 'temperature': 19.48}",8,592.0
590.9748875,0.0251125,23413,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0246, 'acoustic': 120, 'temperature': 22.92}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0231, 'acoustic': 120, 'temperature': 20.62}",9,591.0
589.974875,0.025124999999999998,23362,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0239, 'acoustic': 120, 'temperature': 17.94}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0273, 'acoustic': 120, 'temperature': 20.99}",10,590.0
588.9748625,0.025137500000000004,23310,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0251, 'acoustic': 120, 'temperature': 16.99}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0259, 'acoustic': 120, 'temperature': 25.81}",11,589.0
587.97485,0.025150000000000002,23259,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0262, 'acoustic': 120, 'temperature': 22.89}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0233, 'acoustic': 120, 'temperature': 23.12}",12,588.0
586.9748375,0.0251625,23208,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0247, 'acoustic': 120, 'temperature': 22.33}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.025, 'acoustic': 120, 'temperature': 20.08}",13,587.0
585.974825,0.025175,23156,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0247, 'acoustic': 120, 'temperature': 18.51}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.028, 'acoustic': 120, 'temperature': 26.62}",14,586.0
584.9748125,0.0251875,23105,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0278, 'acoustic': 120, 'temperature': 17.75}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0234, 'acoustic': 120, 'temperature': 19.24}",15,585.0
583.9748,0.0252,23054,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0257, 'acoustic': 120, 'temperature': 24.43}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0263, 'acoustic': 120, 'temperature': 27.21}",16,584.0
582.9747875,0.0252125,23003,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0256, 'acoustic': 120, 'temperature': 17.7}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0257, 'acoustic': 120, 'temperature': 21.57}",17,583.0
581.974775,0.025224999999999997,22952,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0241, 'acoustic': 120, 'temperature': 19.68}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0252, 'acoustic': 120, 'temperature': 21.89}",18,582.0
580.9747625,0.025237500000000003,22901,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0251, 'acoustic': 120, 'temperature': 21.21}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0253, 'acoustic': 120, 'temperature': 27.82}",19,581.0
579.97475,0.02525,22850,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0252, 'acoustic': 120, 'temperature': 18.67}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0249, 'acoustic': 120, 'temperature': 23.35}",20,580.0
578.9747375,0.0252625,22799,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0241, 'acoustic': 120, 'temperature': 21.57}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0252, 'acoustic': 120, 'temperature': 26.61}",21,579.0
577.974725,0.025275,22748,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0272, 'acoustic': 120, 'temperature': 23.69}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0256, 'acoustic': 120, 'temperature': 19.33}",22,578.0
576.9747125,0.025287500000000004,22697,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0251, 'acoustic': 120, 'temperature': 27.11}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0263, 'acoustic': 120, 'temperature': 18.47}",23,577.0
575.9747,0.025300000000000003,22647,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0253, 'acoustic': 120, 'temperature': 25.26}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0259, 'acoustic': 120, 'temperature': 18.26}",24,576.0
574.9746875,0.0253125,22596,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0249, 'acoustic': 120, 'temperature': 27.64}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0245, 'acoustic': 120, 'temperature': 22.95}",25,575.0
573.974675,0.025325,22545,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0262, 'acoustic': 120, 'temperature': 26.35}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0257, 'acoustic': 120, 'temperature': 27.12}",26,574.0
572.9746625,0.025337500000000002,22495,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0259, 'acoustic': 120, 'temperature': 18.92}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0255, 'acoustic': 120, 'temperature': 28.94}",27,573.0
571.97465,0.02535,22444,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0251, 'acoustic': 120, 'temperature': 19.34}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.025, 'acoustic': 120, 'temperature': 18.22}",28,572.0
570.9746375,0.0253625,22394,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0251, 'acoustic': 120, 'temperature': 18.95}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0248, 'acoustic': 120, 'temperature': 19.52}",29,571.0
569.974625,0.025374999999999998,22343,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0263, 'acoustic': 120, 'temperature': 27.49}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0252, 'acoustic': 120, 'temperature': 20.19}",30,570.0
568.9746125,0.025387500000000004,22293,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0252, 'acoustic': 120, 'temperature': 18.86}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0259, 'acoustic': 120, 'temperature': 26.4}",31,569.0
567.9746,0.025400000000000002,22243,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0258, 'acoustic': 120, 'temperature': 26.91}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.025, 'acoustic': 120, 'temperature': 22.24}",32,568.0
566.9745875,0.0254125,22192,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0253, 'acoustic': 120, 'temperature': 29.2}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0254, 'acoustic': 120, 'temperature': 20.95}",33,567.0
565.974575,0.025425,22142,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0272, 'acoustic': 120, 'temperature': 19.96}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0268, 'acoustic': 120, 'temperature': 21.02}",34,566.0
564.9745625,0.025437500000000002,22092,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0269, 'acoustic': 120, 'temperature': 29.04}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0257, 'acoustic': 120, 'temperature': 27.45}",35,565.0
563.97455,0.02545,22042,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0259, 'acoustic': 120, 'temperature': 19.68}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0256, 'acoustic': 120, 'temperature': 28.38}",36,564.0
562.9745375,0.0254625,21992,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0259, 'acoustic': 120, 'temperature': 20.22}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0247, 'acoustic': 120, 'temperature': 24.97}",37,563.0
561.974525,0.025474999999999998,21942,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0263, 'acoustic': 120, 'temperature': 25.85}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0254, 'acoustic': 120, 'temperature': 29.21}",38,562.0
560.9745125,0.025487500000000003,21892,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0261, 'acoustic': 120, 'temperature': 27.26}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0269, 'acoustic': 120, 'temperature': 25.83}",39,561.0
559.9745,0.025500000000000002,21842,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0268, 'acoustic': 120, 'temperature': 27.76}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.025, 'acoustic': 120, 'temperature': 20.6}",40,560.0
558.9744875,0.0255125,21792,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0261, 'acoustic': 120, 'temperature': 20.27}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0257, 'acoustic': 120, 'temperature': 26.47}",41,559.0
557.974475,0.025525,21742,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0266, 'acoustic': 120, 'temperature': 21.83}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0236, 'acoustic': 120, 'temperature': 20.36}",42,558.0
556.9744625,0.025537500000000005,21692,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0262, 'acoustic': 120, 'temperature': 28.16}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0246, 'acoustic': 120, 'temperature': 20.26}",43,557.0
555.97445,0.025550000000000003,21642,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0272, 'acoustic': 120, 'temperature': 23.16}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0257, 'acoustic': 120, 'temperature': 29.54}",44,556.0
