wall_thickness,corrosion_rate,rul,sensor_a,sensor_b,day,RUL
148.954964,0.04503599999999999,3240,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0468, 'acoustic': 120, 'temperature': 21.17}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0445, 'acoustic': 120, 'temperature': 19.79}",1,149.0
147.954928,0.045072,3216,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0435, 'acoustic': 120, 'temperature': 18.37}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0456, 'acoustic': 120, 'temperature': 22.24}",2,148.0
146.954892,0.045107999999999995,3191,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0474, 'acoustic': 120, 'temperature': 23.71}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0448, 'acoustic': 120, 'temperature': 18.19}",3,147.0
145.954856,0.045144000000000004,3166,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0452, 'acoustic': 120, 'temperature': 15.09}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0468, 'acoustic': 120, 'temperature': 23.73}",4,146.0
144.95482,0.04518,3141,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0438, 'acoustic': 120, 'temperature': 17.81}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0451, 'acoustic': 120, 'temperature': 17.28}",5,145.0
143.954784,0.04521599999999999,3117,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0455, 'acoustic': 120, 'temperature': 15.53}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.047, 'acoustic': 120, 'temperature': 16.45}",6,144.0
142.954748,0.045252,3092,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0462, 'acoustic': 120, 'temperature': 22.52}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0466, 'acoustic': 120, 'temperature': 15.92}",7,143.0
141.954712,0.045287999999999995,3068,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0453, 'acoustic': 120, 'temperature': 15.75}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0448, 'acoustic': 120, 'temperature': 25.45}",8,142.0
140.954676,0.045324,3043,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0458, 'acoustic': 120, 'temperature': 18.32}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0459, 'acoustic': 120, 'temperature': 24.61}",9,141.0
139.95464,0.04536,3019,"{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0448, 'acoustic': 120, 'temperature': 20.58}","{'pressure': 6.0, 'flow': 250, 'corrosion': 0.0467, 'acoustic': 120, 'temperature': 21.88}",10,140.0
