feature,importance
corrosion_90d_avg_B,0.32903713
corrosion_90d_avg_A,0.21058448
pressure_90d_avg_B,0.105509326
pressure_90d_avg_A,0.104589164
flow_30d_std_A,0.03253774
acoustic_30d_avg_B,0.02973287
pressure_30d_std_A,0.024682319
corrosion_30d_avg_B,0.02278221
flow_90d_avg_B,0.020171251
pressure_7d_std_A,0.019472418
flow_30d_avg_B,0.01915747
flow_30d_avg_A,0.014561092
temperature_90d_avg_A,0.01075581
flow_90d_avg_A,0.009258617
pressure_7d_avg_B,0.009069741
temperature_90d_avg_B,0.007502995
pressure_30d_avg_A,0.0051949807
pressure_30d_avg_B,0.0044978457
flow_30d_std_B,0.0043391576
acoustic_30d_avg_A,0.004047334
flow_pressure_ratio_A,0.0016003088
corrosion_30d_avg_A,0.0014410629
temperature_30d_avg_B,0.0012433067
pressure_B,0.0011304772
temperature_30d_avg_A,0.0010270316
acoustic_90d_avg_B,0.0009966928
corrosion_7d_avg_A,0.0008405916
temperature_90d_change_A,0.0007815319
flow_pressure_ratio_B,0.00070161646
temperature_90d_change_B,0.0006861152
pressure_7d_avg_A,0.00033353534
acoustic_90d_avg_A,0.0003216059
temperature_7d_avg_A,0.00030735065
pressure_A,0.000300273
temperature_7d_avg_B,0.00026692575
corrosion_A,0.00012066248
flow_7d_avg_B,7.8150726e-05
pressure_30d_std_B,6.7405665e-05
corrosion_7d_avg_B,3.5998146e-05
temperature_A,2.6980719e-05
flow_B,2.3716972e-05
flow_7d_avg_A,2.2959463e-05
pressure_90d_change_B,1.3664835e-05
acoustic_B,1.3537504e-05
acoustic_7d_avg_A,1.0519272e-05
acoustic_7d_avg_B,7.569254e-06
flow_A,7.181735e-06
corrosion_B,6.552988e-06
acoustic_A,6.4246747e-06
pressure_ratio_AB,6.388155e-06
pressure_7d_std_B,5.2794558e-06
pressure_90d_change_A,5.006499e-06
acoustic_30d_std_A,4.8970855e-06
acoustic_30d_std_B,4.3265454e-06
flow_90d_change_B,4.0646996e-06
flow_drop_AB,3.985777e-06
pressure_drop_AB,3.9156603e-06
flow_efficiency_AB,3.440814e-06
temperature_avg_AB,2.823679e-06
corrosion_30d_std_A,2.6607647e-06
temperature_B,2.536738e-06
temperature_30d_std_B,2.5235886e-06
temperature_30d_std_A,2.2012803e-06
corrosion_30d_std_B,2.1544702e-06
flow_7d_std_A,2.076381e-06
flow_7d_std_B,1.6866776e-06
acoustic_7d_std_A,1.5519543e-06
flow_90d_change_A,1.423906e-06
acoustic_7d_std_B,1.3068025e-06
temperature_7d_std_A,1.2479325e-06
corrosion_7d_std_B,1.1489591e-06
pressure_gradient_AB,1.1322877e-06
temperature_diff_AB,1.1295405e-06
pressure_30d_change_A,1.1256482e-06
flow_loss_percent_AB,1.1138386e-06
temperature_7d_std_B,1.0741011e-06
pressure_30d_change_B,1.0538312e-06
corrosion_7d_std_A,1.0438711e-06
temperature_30d_change_A,1.0152721e-06
temperature_7d_change_A,1.0143821e-06
pressure_7d_change_B,1.000334e-06
temperature_7d_change_B,9.707747e-07
pressure_7d_change_A,9.624738e-07
segment_efficiency,9.148732e-07
temperature_30d_change_B,8.86539e-07
corrosion_ratio_AB,8.8315556e-07
flow_30d_change_B,8.7964077e-07
acoustic_ratio_AB,8.7234787e-07
flow_30d_change_A,8.3762103e-07
flow_7d_change_B,8.2515487e-07
acoustic_90d_change_A,7.940671e-07
corrosion_90d_change_B,7.7332186e-07
corrosion_7d_change_A,7.678807e-07
flow_7d_change_A,7.6003266e-07
acoustic_90d_change_B,7.505975e-07
acoustic_30d_change_A,7.466485e-07
acoustic_30d_change_B,7.293654e-07
corrosion_90d_change_A,7.215052e-07
corrosion_30d_change_B,7.132882e-07
acoustic_diff_AB,7.116285e-07
acoustic_7d_change_B,7.1054836e-07
acoustic_7d_change_A,6.8978704e-07
corrosion_diff_AB,6.8485133e-07
corrosion_7d_change_B,6.7621386e-07
corrosion_30d_change_A,6.615668e-07
